TTI,Total_Throughput_Mbps,Fairness_Index,User_0_Throughput,User_1_Throughput,User_2_Throughput,User_3_Throughput,User_4_Throughput,User_5_Throughput,User_6_Throughput,User_7_Throughput,User_8_Throughput,User_9_Throughput,User_0_RBs,User_1_RBs,User_2_RBs,User_3_RBs,User_4_RBs,User_5_RBs,User_6_RBs,User_7_RBs,User_8_RBs,User_9_RBs
35,5598.949999999995,0.801166400228219,730.1499999999993,127.6999999999997,998.9999999999967,925.1499999999994,496.3999999999998,718.1999999999997,291.6000000000002,468.75000000000114,630.7999999999992,211.20000000000005,5,5,5,5,5,5,5,5,5,5
36,5739.199999999995,0.802611434254364,749.6499999999992,133.59999999999974,1021.5999999999966,947.7499999999993,510.0499999999999,737.6999999999996,301.1500000000003,482.4000000000012,638.1999999999992,217.10000000000008,5,5,5,5,5,5,5,5,5,5
37,5877.299999999996,0.8036174580991837,769.1499999999991,139.49999999999977,1044.1999999999966,970.3499999999992,523.6999999999999,757.1999999999995,308.5500000000004,496.0500000000013,645.5999999999993,223.0000000000001,5,5,5,5,5,5,5,5,5,5
38,6021.249999999995,0.805041567869127,788.649999999999,145.3999999999998,1066.7999999999965,992.9499999999991,537.35,776.6999999999994,315.9500000000005,515.5500000000012,652.9999999999994,228.90000000000015,5,5,5,5,5,5,5,5,5,5
39,6165.199999999995,0.806355985016669,808.1499999999988,151.29999999999984,1089.3999999999965,1015.549999999999,551.0000000000001,796.1999999999992,323.3500000000006,535.0500000000011,660.3999999999995,234.80000000000018,5,5,5,5,5,5,5,5,5,5
40,6309.149999999995,0.8075706994691104,827.6499999999987,157.19999999999987,1111.9999999999964,1038.149999999999,564.6500000000002,815.6999999999991,330.7500000000007,554.550000000001,667.7999999999996,240.70000000000022,5,5,5,5,5,5,5,5,5,5
41,6450.199999999994,0.8081911147307612,847.1499999999986,163.0999999999999,1134.5999999999963,1060.7499999999989,578.3000000000003,835.199999999999,338.1500000000008,574.0500000000009,675.1999999999997,243.7000000000002,5,5,5,5,5,5,5,5,5,5
42,6604.399999999993,0.8080667980900154,866.6499999999985,168.99999999999994,1162.349999999996,1088.4999999999986,597.8000000000002,854.6999999999989,345.55000000000086,593.5500000000008,679.5999999999997,246.70000000000016,5,5,5,5,5,5,5,5,5,5
43,6761.6999999999925,0.80808269015334,886.1499999999984,174.89999999999998,1190.0999999999958,1116.2499999999984,617.3000000000001,874.1999999999988,352.95000000000095,616.1500000000007,683.9999999999997,249.70000000000013,5,5,5,5,5,5,5,5,5,5
44,6916.499999999992,0.8079143334350763,905.6499999999983,180.8,1217.8499999999956,1143.9999999999982,636.8,893.6999999999987,360.35000000000105,638.7500000000006,685.8999999999996,252.7000000000001,5,5,5,5,5,5,5,5,5,5
45,7071.299999999991,0.8076749252713129,925.1499999999982,186.70000000000005,1245.5999999999954,1171.749999999998,656.2999999999998,913.1999999999986,367.75000000000114,661.3500000000005,687.7999999999996,255.70000000000007,5,5,5,5,5,5,5,5,5,5
46,7223.199999999991,0.8068645004954448,944.649999999998,189.70000000000002,1273.3499999999951,1199.4999999999977,675.7999999999997,932.6999999999985,375.1500000000012,683.9500000000004,689.6999999999996,258.70000000000016,5,5,5,5,5,5,5,5,5,5
47,7369.24999999999,0.8060885592352292,958.2999999999981,192.7,1301.099999999995,1227.2499999999975,695.2999999999996,952.1999999999983,382.5500000000013,706.5500000000003,691.5999999999996,261.7000000000003,5,5,5,5,5,5,5,5,5,5
48,7515.299999999989,0.805274820281897,971.9499999999982,195.69999999999996,1328.8499999999947,1254.9999999999973,714.7999999999995,971.6999999999982,389.9500000000014,729.1500000000002,693.4999999999995,264.7000000000004,5,5,5,5,5,5,5,5,5,5
49,7661.3499999999885,0.8044296416478822,985.5999999999983,198.69999999999993,1356.5999999999945,1282.749999999997,734.2999999999994,991.1999999999981,397.3500000000015,751.7500000000001,695.3999999999995,267.7000000000005,5,5,5,5,5,5,5,5,5,5
50,7808.799999999988,0.8038503797498798,999.2499999999984,204.59999999999997,1384.3499999999942,1310.4999999999968,753.7999999999993,1010.699999999998,403.25000000000153,774.35,697.2999999999995,270.7000000000006,5,5,5,5,5,5,5,5,5,5
51,7956.249999999988,0.8032375040570962,1012.8999999999985,210.5,1412.099999999994,1338.2499999999966,773.2999999999992,1030.199999999998,409.15000000000157,796.9499999999999,699.1999999999995,273.7000000000007,5,5,5,5,5,5,5,5,5,5
52,8102.549999999988,0.8025262899062933,1026.5499999999986,216.40000000000003,1439.8499999999938,1365.9999999999964,792.799999999999,1049.6999999999985,415.0500000000016,819.5499999999998,699.9499999999994,276.70000000000084,5,5,5,5,5,5,5,5,5,5
53,8248.849999999988,0.8017883150373121,1040.1999999999987,222.30000000000007,1467.5999999999935,1393.7499999999961,812.2999999999989,1069.199999999999,420.95000000000164,842.1499999999997,700.6999999999992,279.70000000000095,5,5,5,5,5,5,5,5,5,5
54,8389.299999999988,0.8007945923398655,1053.8499999999988,228.2000000000001,1495.3499999999933,1421.499999999996,825.949999999999,1088.6999999999994,426.85000000000167,864.7499999999997,701.4499999999991,282.70000000000107,5,5,5,5,5,5,5,5,5,5
55,8528.349999999988,0.7995354482752918,1067.4999999999989,231.20000000000007,1523.099999999993,1449.2499999999957,839.5999999999991,1108.1999999999998,434.25000000000176,887.3499999999996,702.199999999999,285.7000000000012,5,5,5,5,5,5,5,5,5,5
56,8667.399999999989,0.7982815454087329,1081.149999999999,234.20000000000005,1550.8499999999929,1476.9999999999955,853.2499999999992,1127.7000000000003,441.65000000000185,909.9499999999995,702.9499999999989,288.7000000000013,5,5,5,5,5,5,5,5,5,5
57,8806.449999999988,0.7970346011991796,1094.799999999999,237.20000000000002,1578.5999999999926,1504.7499999999952,866.8999999999993,1147.2000000000007,449.05000000000194,932.5499999999994,703.6999999999988,291.7000000000014,5,5,5,5,5,5,5,5,5,5
