TTI,Total_Throughput_Mbps,Fairness_Index,User_0_Throughput,User_1_Throughput,User_2_Throughput,User_3_Throughput,User_4_Throughput,User_5_Throughput,User_6_Throughput,User_7_Throughput,User_8_Throughput,User_9_Throughput,User_0_RBs,User_1_RBs,User_2_RBs,User_3_RBs,User_4_RBs,User_5_RBs,User_6_RBs,User_7_RBs,User_8_RBs,User_9_RBs
56,9438.999999999984,0.7740782155973643,461.29000000000235,1150.3000000000034,1359.619999999994,1884.2999999999836,750.0600000000042,1498.4999999999927,227.45999999999924,928.2900000000056,870.5399999999989,308.63999999999993,0,25,0,25,0,0,0,0,0,0
57,9649.529999999982,0.765374844462495,465.1100000000024,1213.3800000000022,1374.9799999999937,1989.7499999999827,750.0600000000042,1509.5999999999926,229.21999999999923,938.2500000000058,870.5399999999989,308.63999999999993,2,19,3,19,0,2,2,3,0,0
58,9834.629999999981,0.7631201881909181,478.4800000000026,1236.6200000000017,1410.819999999993,2028.5999999999824,750.0600000000042,1553.9999999999923,235.3799999999992,961.4900000000061,870.5399999999989,308.63999999999993,7,7,7,7,0,8,7,7,0,0
59,10016.08999999998,0.7612199844934182,493.7600000000028,1259.8600000000013,1446.6599999999921,2067.449999999983,750.0600000000042,1592.849999999992,241.53999999999917,984.7300000000065,870.5399999999989,308.63999999999993,8,7,7,7,0,7,7,7,0,0
60,10075.08999999998,0.7683497534766405,493.7600000000028,1259.8600000000013,1446.6599999999921,2067.449999999983,750.0600000000042,1592.849999999992,300.5399999999995,984.7300000000065,870.5399999999989,308.63999999999993,0,0,0,0,0,0,50,0,0,0
61,10134.08999999998,0.7750901842988401,493.7600000000028,1259.8600000000013,1446.6599999999921,2067.449999999983,750.0600000000042,1592.849999999992,359.53999999999985,984.7300000000065,870.5399999999989,308.63999999999993,0,0,0,0,0,0,50,0,0,0
62,10193.08999999998,0.7814341099170049,493.7600000000028,1259.8600000000013,1446.6599999999921,2067.449999999983,750.0600000000042,1592.849999999992,418.5400000000002,984.7300000000065,870.5399999999989,308.63999999999993,0,0,0,0,0,0,50,0,0,0
63,10327.349999999982,0.7818956761449081,503.3100000000029,1279.7800000000009,1446.6599999999921,2100.749999999984,750.0600000000042,1620.5999999999917,445.68000000000035,1001.3300000000067,870.5399999999989,308.63999999999993,5,6,0,6,0,5,23,5,0,0
64,10502.859999999982,0.7797468633801564,518.5900000000029,1306.3400000000004,1446.6599999999921,2145.1499999999855,750.0600000000042,1670.5499999999913,455.1200000000004,1031.2100000000069,870.5399999999989,308.63999999999993,8,8,0,8,0,9,8,9,0,0
65,10639.359999999984,0.7911866364438729,655.0900000000038,1306.3400000000004,1446.6599999999921,2145.1499999999855,750.0600000000042,1670.5499999999913,455.1200000000004,1031.2100000000069,870.5399999999989,308.63999999999993,50,0,0,0,0,0,0,0,0,0
66,10775.859999999984,0.8005685437327452,791.5900000000047,1306.3400000000004,1446.6599999999921,2145.1499999999855,750.0600000000042,1670.5499999999913,455.1200000000004,1031.2100000000069,870.5399999999989,308.63999999999993,50,0,0,0,0,0,0,0,0,0
67,10912.359999999986,0.8079041376936917,928.0900000000056,1306.3400000000004,1446.6599999999921,2145.1499999999855,750.0600000000042,1670.5499999999913,455.1200000000004,1031.2100000000069,870.5399999999989,308.63999999999993,50,0,0,0,0,0,0,0,0,0
68,11054.719999999987,0.8123046606279367,1048.2100000000064,1312.9800000000002,1446.6599999999921,2150.6999999999857,750.0600000000042,1676.0999999999913,456.3000000000004,1034.5300000000068,870.5399999999989,308.63999999999993,44,2,0,1,0,1,1,1,0,0
